a-cute-little-crock-pot,modrinth,1.13.3+1.20.1,false
adapaxels,curse,406691:4633273,false
addadd,modrinth,6.0.1,false
adorn,modrinth,5.0.1-fabric,true
advanced-reborn,modrinth,1.2.2-fabric,false
advancement-frames,curse,556795:4608888,true
adventurez,modrinth,1.4.20+1.20.1,true
alloy_forgery,curse,438718:4574505,false
animal_feeding_trough,curse,445838:4606794,true
applied-energistics-2,curse,223794:4680361,false
applied-energistics-2-wireless-terminals,curse,459929:4586204,false
another-furniture,curse,610492:4815126,true
archon,curse,575339:4645971,false
bartering-station,curse,666940:4580317,false
bclib,curse,495191:4607159,false
bedrockify,curse,403858:4571928,false
better-combat,modrinth,1.8.5+1.20.1-fabric,false
betterend,curse,413596:4607164,false
betternether,curse,311377:4607169,false
bewitchment,curse,394915:4673611,false
blossom,modrinth,Fabric-1.20-pre4-1.0.7,false
boat-container,modrinth,1.3.0,false
bosses-of-mass-destruction,curse,438365:4574909,false
bountiful,modrinth,6.0.1+1.20.1,false
bushier-flowers,curse,682644:4582654,false
bygone-nether,curse,703792:4771418,false
carrier,curse,409184:4605884,false
carryon,curse,274259:4663896,false
chimes,curse,350464:4671968,false
chisel-reborn,modrinth,1.6,false
clickmachine,curse,565529:4752681,false
clickthrough,curse,405262:4617284,false
conjuring,curse,422310:4920656,false
creeper-overhaul,curse,561625:4608550,false
croptopia,curse,415438:4636035,false
dark-utilities,modrinth,16.0.2,false
dehydration,modrinth,1.3.4+1.20,false
disenchanter,curse,542473:4576396,false
dismount-entity,modrinth,1.20.1-3.0-forge+fabric,false
do-api,curse,864599:5320959,false
dramatic-doors,curse,380617:4870748,false
emerald-geodes,curse,437712:4598688,false
enderchests,curse,564584:4623860,false
expanded-delight,curse,620770:4669746,false
extended-drawers,curse,616602:4946096,false
farmers-delight-refabricated,modrinth,1.20.1-2.1.1,false
friends-and-foes,curse,551364:4602747,false
galosphere,curse,631098:4668863,false
goblin-traders,curse,667389:4802504,false
guard-villagers-fabric,curse,571503:4751644,false
happiness-is-a-warm-gun,modrinth,2.0.0,false
industrial-revolution,curse,391708:4679005,false
inmis,curse,369254:4754360,false
interactic,modrinth,0.2.0+1.20,false
ironchestsfabric,curse,498534:4591530,false
ironchestsrestocked,curse,498794:4596521,false
kibe,curse,388832:4648536,false
macaws_bridges,curse,351725:4599790,false
macaws_doors,curse,378646:4649888,false
macaws_lights,curse,502372:4618169,false
macaws_roofs,curse,352039:4590013,false
macaws_windows,curse,363569:4750644,false
magic-combat-wands,curse,534351:4670734,false
mariums-soulslike-weaponry,curse,632066:4619687,false
mcdar,curse,476788:4628115,false
mcdw,curse,407311:4622975,false
mcpitanlibarch,curse,682213:4605553,false
meadow,curse,821483:5567209,false
merequester,curse,688367:4665974,false
moonlight,modrinth,fabric_1.20-2.13.25,true
more-banner-features,curse,515000:4575797,false
multibeds,curse,536608:4623865,false
natures-compass,curse,252848:4591880,false
no-strip,modrinth,1.2.3,false
numismatic-overhaul,curse,568316:4576392,false
omni-hopper,curse,610606:4601561,false
paladins-furniture,curse,663141:4861500,false
patchouli,modrinth,1.20.1-81-fabric,false
platforms,curse,536610:4623871,false
reborncore,curse,237903:4608597,false
runes,curse,775518:4695960,false
saflib,modrinth,1.1.0,true
spell-engine,curse,807653:4687146,false
techreborn,curse,233564:4608596,false
things,modrinth,0.3.1+1.20,false
throwabletorch-fabric,curse,442917:4663763,false
toms-storage-fabric,curse,396826:4595219,false
trading-post,curse,539057:4580321,false
travelers_backpack,curse,541171:4601872,false
trinkets,modrinth,3.7.0,false
twigs,modrinth,3.1.0,false
universal-graves,curse,497175:4608950,false
vanillatweaks,curse,272637:4608905,false
villagersplus-fabric,curse,809542:4996993,false
vinery,curse,704465:5320631,false
voidz,curse,486971:4574116,false
waystones,curse,410902:4574001,false
wetlands,curse,813777:4846009,false
windchimes,curse,477895:4579136,false
wolves-with-armor,curse,375969:3853629,false
woof,curse,653216:4620070,false
youre-in-grave-danger,curse,544912:4875037,false
zenith,curse,620928:4892212,false
